Header Material,Component Material,Header Material code,Component Material code,Component Quantity,Component BUoM,Component Description,Production LT in Weeks,Component Scrap (perc),Assembly Scrap (perc),Component Scrap Factor,Assembly Scrap Factor,Total Scrap Factor,Effective Component Quantity,Plant,Header OPS Group,Component OPS Group,Comp Plate/Gasket,Header Description,Version,Usage,BOM Status
P01_NW08_MAT-200738,P01_NW08_RM-COMP-AFLAS,MAT-200738,RM-COMP-AFLAS,0.529,KG,RUBBER COMPOUND AFLAS,2,0.026,0.028,1.026,1.028,1.0547,0.558,P01_NW08_Northwind Iberia,OPS-M12-EPDM,RM-COMP,Gaskets,M12-EPDM GASKET 19,1,1,Active
P01_NW08_MAT-200738,P01_NW08_RM-COMP-NBR,MAT-200738,RM-COMP-NBR,0.3,KG,RUBBER COMPOUND NBR70,3,0.06,0.006,1.06,1.006,1.0664,0.32,P01_NW08_Northwind Iberia,OPS-M12-EPDM,RM-COMP,Gaskets,M12-EPDM GASKET 19,1,1,Active
P01_NW08_MAT-200741,P01_NW08_RM-COMP-NBR,MAT-200741,RM-COMP-NBR,0.396,KG,RUBBER COMPOUND NBR70,8,0.056,0.024,1.056,1.024,1.0813,0.428,P01_NW08_Northwind Iberia,OPS-M14-HNBR,RM-COMP,Gaskets,M14-HNBR GASKET 22,1,1,Active
P01_NW08_MAT-200742,P01_NW08_RM-COMP-HNBR,MAT-200742,RM-COMP-HNBR,0.406,KG,RUBBER COMPOUND HNBR60,2,0.03,0.013,1.03,1.013,1.0434,0.424,P01_NW08_Northwind Iberia,OPS-M18-AFLAS,RM-COMP,Gaskets,M18-AFLAS GASKET 23,1,1,Active
P01_NW08_MAT-200742,P01_NW08_RM-COMP-SILI,MAT-200742,RM-COMP-SILI,0.272,KG,RUBBER COMPOUND SILICONE,6,0.015,0.016,1.015,1.016,1.0312,0.28,P01_NW08_Northwind Iberia,OPS-M18-AFLAS,RM-COMP,Gaskets,M18-AFLAS GASKET 23,1,1,Active
P01_NW08_MAT-200746,P01_NW08_RM-COMP-AFLAS,MAT-200746,RM-COMP-AFLAS,0.435,KG,RUBBER COMPOUND AFLAS,3,0.029,0.017,1.029,1.017,1.0465,0.455,P01_NW08_Northwind Iberia,OPS-M12-EPDM,RM-COMP,Gaskets,M12-EPDM GASKET 27,1,1,Active
P01_NW08_MAT-200746,P01_NW08_RM-COMP-SILI,MAT-200746,RM-COMP-SILI,0.268,KG,RUBBER COMPOUND SILICONE,6,0.016,0.008,1.016,1.008,1.0241,0.274,P01_NW08_Northwind Iberia,OPS-M12-EPDM,RM-COMP,Gaskets,M12-EPDM GASKET 27,1,1,Active
P01_NW08_MAT-200763,P01_NW08_RM-COMP-SILI,MAT-200763,RM-COMP-SILI,0.291,KG,RUBBER COMPOUND SILICONE,8,0.033,0.013,1.033,1.013,1.0464,0.305,P01_NW08_Northwind Iberia,OPS-M6-FKM,RM-COMP,Gaskets,M6-FKM GASKET 04,1,1,Active
P01_NW08_MAT-200779,P01_NW08_RM-COMP-SILI,MAT-200779,RM-COMP-SILI,0.332,KG,RUBBER COMPOUND SILICONE,6,0.04,0.023,1.04,1.023,1.0639,0.353,P01_NW08_Northwind Iberia,OPS-M6-FKM,RM-COMP,Gaskets,M6-FKM GASKET 20,1,1,Active
P01_NW08_MAT-200783,P01_NW08_RM-COMP-FKM,MAT-200783,RM-COMP-FKM,0.456,KG,RUBBER COMPOUND FKM75,6,0.017,0.023,1.017,1.023,1.0404,0.474,P01_NW08_Northwind Iberia,OPS-M22-NBR,RM-COMP,Gaskets,M22-NBR GASKET 24,1,1,Active
P01_NW08_MAT-200785,P01_NW08_RM-COMP-SILI,MAT-200785,RM-COMP-SILI,0.35,KG,RUBBER COMPOUND SILICONE,4,0.057,0.02,1.057,1.02,1.0781,0.377,P01_NW08_Northwind Iberia,OPS-M8-NBR,RM-COMP,Gaskets,M8-NBR GASKET 26,1,1,Active
P01_NW08_MAT-200795,P01_NW08_RM-COMP-HNBR,MAT-200795,RM-COMP-HNBR,0.362,KG,RUBBER COMPOUND HNBR60,6,0.014,0.019,1.014,1.019,1.0333,0.374,P01_NW08_Northwind Iberia,OPS-M6-FKM,RM-COMP,Gaskets,M6-FKM GASKET 36,1,1,Active
P01_NW08_MAT-200802,P01_NW08_RM-COMP-FKM,MAT-200802,RM-COMP-FKM,0.443,KG,RUBBER COMPOUND FKM75,4,0.024,0.029,1.024,1.029,1.0537,0.467,P01_NW08_Northwind Iberia,OPS-M12-EPDM,RM-COMP,Gaskets,M12-EPDM GASKET 03,1,1,Active
P01_NW08_MAT-200811,P01_NW08_RM-COMP-EPDM,MAT-200811,RM-COMP-EPDM,0.253,KG,RUBBER COMPOUND EPDM80,3,0.012,0.023,1.012,1.023,1.0353,0.262,P01_NW08_Northwind Iberia,OPS-M6-FKM,RM-COMP,Gaskets,M6-FKM GASKET 12,1,1,Active
P01_NW08_MAT-200812,P01_NW08_RM-COMP-EPDM,MAT-200812,RM-COMP-EPDM,0.311,KG,RUBBER COMPOUND EPDM80,6,0.056,0.022,1.056,1.022,1.0792,0.336,P01_NW08_Northwind Iberia,OPS-M20-SILI,RM-COMP,Gaskets,M20-SILI GASKET 13,1,1,Active
P01_NW08_MAT-200813,P01_NW08_RM-COMP-FKM,MAT-200813,RM-COMP-FKM,0.42,KG,RUBBER COMPOUND FKM75,8,0.05,0.01,1.05,1.01,1.0605,0.445,P01_NW08_Northwind Iberia,OPS-M14-HNBR,RM-COMP,Gaskets,M14-HNBR GASKET 14,1,1,Active
P01_NW08_MAT-200814,P01_NW08_RM-COMP-AFLAS,MAT-200814,RM-COMP-AFLAS,0.485,KG,RUBBER COMPOUND AFLAS,3,0.021,0.006,1.021,1.006,1.0271,0.498,P01_NW08_Northwind Iberia,OPS-M18-AFLAS,RM-COMP,Gaskets,M18-AFLAS GASKET 15,1,1,Active
P01_NW08_MAT-200820,P01_NW08_RM-COMP-FKM,MAT-200820,RM-COMP-FKM,0.409,KG,RUBBER COMPOUND FKM75,4,0.036,0.015,1.036,1.015,1.0515,0.43,P01_NW08_Northwind Iberia,OPS-M20-SILI,RM-COMP,Gaskets,M20-SILI GASKET 21,1,1,Active
P01_NW08_MAT-200827,P01_NW08_RM-COMP-AFLAS,MAT-200827,RM-COMP-AFLAS,0.397,KG,RUBBER COMPOUND AFLAS,4,0.038,0.015,1.038,1.015,1.0536,0.418,P01_NW08_Northwind Iberia,OPS-M6-FKM,RM-COMP,Gaskets,M6-FKM GASKET 28,1,1,Active
P01_NW08_MAT-200827,P01_NW08_RM-COMP-FKM,MAT-200827,RM-COMP-FKM,0.383,KG,RUBBER COMPOUND FKM75,6,0.027,0.025,1.027,1.025,1.0527,0.403,P01_NW08_Northwind Iberia,OPS-M6-FKM,RM-COMP,Gaskets,M6-FKM GASKET 28,1,1,Active
P01_NW08_MAT-200833,P01_NW08_RM-COMP-HNBR,MAT-200833,RM-COMP-HNBR,0.354,KG,RUBBER COMPOUND HNBR60,4,0.01,0.025,1.01,1.025,1.0353,0.366,P01_NW08_Northwind Iberia,OPS-M8-NBR,RM-COMP,Gaskets,M8-NBR GASKET 34,1,1,Active
P01_NW08_MAT-200845,P01_NW08_RM-COMP-FKM,MAT-200845,RM-COMP-FKM,0.467,KG,RUBBER COMPOUND FKM75,2,0.019,0.012,1.019,1.012,1.0312,0.482,P01_NW08_Northwind Iberia,OPS-M14-HNBR,RM-COMP,Gaskets,M14-HNBR GASKET 06,1,1,Active
P01_NW08_MAT-200845,P01_NW08_RM-COMP-NBR,MAT-200845,RM-COMP-NBR,0.296,KG,RUBBER COMPOUND NBR70,2,0.028,0.008,1.028,1.008,1.0362,0.307,P01_NW08_Northwind Iberia,OPS-M14-HNBR,RM-COMP,Gaskets,M14-HNBR GASKET 06,1,1,Active
P01_NW08_MAT-200846,P01_NW08_RM-COMP-EPDM,MAT-200846,RM-COMP-EPDM,0.253,KG,RUBBER COMPOUND EPDM80,2,0.043,0.026,1.043,1.026,1.0701,0.271,P01_NW08_Northwind Iberia,OPS-M18-AFLAS,RM-COMP,Gaskets,M18-AFLAS GASKET 07,1,1,Active
P01_NW08_MAT-200865,P01_NW08_RM-COMP-AFLAS,MAT-200865,RM-COMP-AFLAS,0.521,KG,RUBBER COMPOUND AFLAS,2,0.025,0.006,1.025,1.006,1.0312,0.537,P01_NW08_Northwind Iberia,OPS-M8-NBR,RM-COMP,Gaskets,M8-NBR GASKET 26,1,1,Active
P01_NW08_MAT-200871,P01_NW08_RM-COMP-SILI,MAT-200871,RM-COMP-SILI,0.323,KG,RUBBER COMPOUND SILICONE,4,0.049,0.007,1.049,1.007,1.0563,0.341,P01_NW08_Northwind Iberia,OPS-M22-NBR,RM-COMP,Gaskets,M22-NBR GASKET 32,1,1,Active
P01_NW08_MAT-200875,P01_NW08_RM-COMP-AFLAS,MAT-200875,RM-COMP-AFLAS,0.49,KG,RUBBER COMPOUND AFLAS,6,0.016,0.018,1.016,1.018,1.0343,0.507,P01_NW08_Northwind Iberia,OPS-M6-FKM,RM-COMP,Gaskets,M6-FKM GASKET 36,1,1,Active
P01_NW08_MAT-200875,P01_NW08_RM-COMP-EPDM,MAT-200875,RM-COMP-EPDM,0.24,KG,RUBBER COMPOUND EPDM80,2,0.012,0.017,1.012,1.017,1.0292,0.247,P01_NW08_Northwind Iberia,OPS-M6-FKM,RM-COMP,Gaskets,M6-FKM GASKET 36,1,1,Active
P01_NW08_MAT-200878,P01_NW08_RM-COMP-AFLAS,MAT-200878,RM-COMP-AFLAS,0.394,KG,RUBBER COMPOUND AFLAS,2,0.017,0.018,1.017,1.018,1.0353,0.408,P01_NW08_Northwind Iberia,OPS-M18-AFLAS,RM-COMP,Gaskets,M18-AFLAS GASKET 39,1,1,Active
P01_NW08_MAT-200885,P01_NW08_RM-COMP-FKM,MAT-200885,RM-COMP-FKM,0.486,KG,RUBBER COMPOUND FKM75,8,0.042,0.023,1.042,1.023,1.066,0.518,P01_NW08_Northwind Iberia,OPS-M14-HNBR,RM-COMP,Gaskets,M14-HNBR GASKET 06,1,1,Active
P01_NW08_MAT-200886,P01_NW08_RM-COMP-HNBR,MAT-200886,RM-COMP-HNBR,0.391,KG,RUBBER COMPOUND HNBR60,8,0.027,0.016,1.027,1.016,1.0434,0.408,P01_NW08_Northwind Iberia,OPS-M18-AFLAS,RM-COMP,Gaskets,M18-AFLAS GASKET 07,1,1,Active
P01_NW08_MAT-200886,P01_NW08_RM-COMP-FKM,MAT-200886,RM-COMP-FKM,0.394,KG,RUBBER COMPOUND FKM75,4,0.029,0.017,1.029,1.017,1.0465,0.412,P01_NW08_Northwind Iberia,OPS-M18-AFLAS,RM-COMP,Gaskets,M18-AFLAS GASKET 07,1,1,Active
P01_NW08_MAT-200889,P01_NW08_RM-COMP-SILI,MAT-200889,RM-COMP-SILI,0.356,KG,RUBBER COMPOUND SILICONE,2,0.011,0.021,1.011,1.021,1.0322,0.367,P01_NW08_Northwind Iberia,OPS-M8-NBR,RM-COMP,Gaskets,M8-NBR GASKET 10,1,1,Active
P01_NW08_MAT-200889,P01_NW08_RM-COMP-NBR,MAT-200889,RM-COMP-NBR,0.352,KG,RUBBER COMPOUND NBR70,3,0.033,0.008,1.033,1.008,1.0413,0.367,P01_NW08_Northwind Iberia,OPS-M8-NBR,RM-COMP,Gaskets,M8-NBR GASKET 10,1,1,Active
P01_NW09_MAT-100020,P01_NW09_RM-COIL-SS316,MAT-100020,RM-COIL-SS316,6.732,KG,COIL SS316 1250mm 0.5mm,8,0.046,0.013,1.046,1.013,1.0596,7.133,P01_NW09_Northwind Alpine,OPS-MX100,RM-COIL,Plates,MX100/PL.21 304TL 0.7mm,1,1,Active
P01_NW09_MAT-100028,P01_NW09_RM-COIL-SS316,MAT-100028,RM-COIL-SS316,14.563,KG,COIL SS316 1250mm 0.5mm,4,0.051,0.024,1.051,1.024,1.0762,15.673,P01_NW09_Northwind Alpine,OPS-XL420,RM-COIL,Plates,XL420/PL.29 304TL 0.8mm,1,1,Active
P01_NW09_MAT-100039,P01_NW09_RM-COIL-SS304,MAT-100039,RM-COIL-SS304,6.567,KG,COIL SS304 1250mm 0.4mm,6,0.011,0.027,1.011,1.027,1.0383,6.819,P01_NW09_Northwind Alpine,OPS-S160,RM-COIL,Plates,S160/PL.40 304TL 0.5mm,1,1,Active
P01_NW09_MAT-100042,P01_NW09_RM-COIL-NI,MAT-100042,RM-COIL-NI,8.651,KG,COIL NICKEL 1200mm 0.35mm,6,0.042,0.016,1.042,1.016,1.0587,9.159,P01_NW09_Northwind Alpine,OPS-PRO-9X,RM-COIL,Plates,PRO-9X/PL.43 304TL 0.8mm,1,1,Active
P01_NW09_MAT-100042,P01_NW09_RM-COIL-AL,MAT-100042,RM-COIL-AL,5.165,KG,COIL ALUMINUM 1300mm 0.6mm,3,0.055,0.019,1.055,1.019,1.075,5.552,P01_NW09_Northwind Alpine,OPS-PRO-9X,RM-COIL,Plates,PRO-9X/PL.43 304TL 0.8mm,1,1,Active
P01_NW09_MAT-100043,P01_NW09_RM-COIL-SS316,MAT-100043,RM-COIL-SS316,9.677,KG,COIL SS316 1250mm 0.5mm,6,0.049,0.025,1.049,1.025,1.0752,10.405,P01_NW09_Northwind Alpine,OPS-PRO-12X,RM-COIL,Plates,PRO-12X/PL.44 304TL 0.5mm,1,1,Active
P01_NW09_MAT-100045,P01_NW09_RM-COIL-AL,MAT-100045,RM-COIL-AL,4.136,KG,COIL ALUMINUM 1300mm 0.6mm,4,0.026,0.013,1.026,1.013,1.0393,4.299,P01_NW09_Northwind Alpine,OPS-MX200,RM-COIL,Plates,MX200/PL.46 304TL 0.3mm,1,1,Active
P01_NW09_MAT-100047,P01_NW09_RM-COIL-HC276,MAT-100047,RM-COIL-HC276,12.93,KG,COIL HASTELLOY C276 1250mm 0.5mm,6,0.015,0.007,1.015,1.007,1.0221,13.216,P01_NW09_Northwind Alpine,OPS-HT80,RM-COIL,Plates,HT80/PL.48 304TL 0.6mm,1,1,Active
P01_NW09_MAT-100052,P01_NW09_RM-COIL-HC276,MAT-100052,RM-COIL-HC276,13.206,KG,COIL HASTELLOY C276 1250mm 0.5mm,4,0.036,0.027,1.036,1.027,1.064,14.051,P01_NW09_Northwind Alpine,OPS-XL420,RM-COIL,Plates,XL420/PL.03 304TL 0.8mm,1,1,Active
P01_NW09_MAT-100054,P01_NW09_RM-COIL-TI,MAT-100054,RM-COIL-TI,6.545,KG,COIL TITANIUM 1200mm 0.4mm,8,0.043,0.017,1.043,1.017,1.0607,6.942,P01_NW09_Northwind Alpine,OPS-PRO-9X,RM-COIL,Plates,PRO-9X/PL.05 304TL 0.7mm,1,1,Active
P01_NW09_MAT-100056,P01_NW09_RM-COIL-NI,MAT-100056,RM-COIL-NI,5.139,KG,COIL NICKEL 1200mm 0.35mm,4,0.056,0.026,1.056,1.026,1.0835,5.568,P01_NW09_Northwind Alpine,OPS-MX100,RM-COIL,Plates,MX100/PL.07 304TL 0.6mm,1,1,Active
P01_NW09_MAT-100057,P01_NW09_RM-COIL-TI,MAT-100057,RM-COIL-TI,6.108,KG,COIL TITANIUM 1200mm 0.4mm,8,0.015,0.015,1.015,1.015,1.0302,6.292,P01_NW09_Northwind Alpine,OPS-MX200,RM-COIL,Plates,MX200/PL.08 304TL 0.8mm,1,1,Active
P01_NW09_MAT-100058,P01_NW09_RM-COIL-HC276,MAT-100058,RM-COIL-HC276,8.876,KG,COIL HASTELLOY C276 1250mm 0.5mm,4,0.045,0.013,1.045,1.013,1.0586,9.396,P01_NW09_Northwind Alpine,OPS-MX250,RM-COIL,Plates,MX250/PL.09 304TL 0.6mm,1,1,Active
P01_NW09_MAT-100060,P01_NW09_RM-COIL-NI,MAT-100060,RM-COIL-NI,6.63,KG,COIL NICKEL 1200mm 0.35mm,4,0.042,0.016,1.042,1.016,1.0587,7.019,P01_NW09_Northwind Alpine,OPS-S62,RM-COIL,Plates,S62/PL.11 304TL 0.8mm,1,1,Active
P01_NW09_MAT-100072,P01_NW09_RM-COIL-HC276,MAT-100072,RM-COIL-HC276,9.073,KG,COIL HASTELLOY C276 1250mm 0.5mm,2,0.014,0.016,1.014,1.016,1.0302,9.347,P01_NW09_Northwind Alpine,OPS-S62,RM-COIL,Plates,S62/PL.23 304TL 0.6mm,1,1,Active
P01_NW09_MAT-100082,P01_NW09_RM-COIL-SS316,MAT-100082,RM-COIL-SS316,7.01,KG,COIL SS316 1250mm 0.5mm,2,0.053,0.026,1.053,1.026,1.0804,7.574,P01_NW09_Northwind Alpine,OPS-MX250,RM-COIL,Plates,MX250/PL.33 304TL 0.8mm,1,1,Active
P01_NW09_MAT-100086,P01_NW09_RM-COIL-SS316,MAT-100086,RM-COIL-SS316,7.55,KG,COIL SS316 1250mm 0.5mm,4,0.018,0.017,1.018,1.017,1.0353,7.817,P01_NW09_Northwind Alpine,OPS-S140,RM-COIL,Plates,S140/PL.37 304TL 0.7mm,1,1,Active
P01_NW09_MAT-100093,P01_NW09_RM-COIL-SS316,MAT-100093,RM-COIL-SS316,6.364,KG,COIL SS316 1250mm 0.5mm,3,0.055,0.014,1.055,1.014,1.0698,6.808,P01_NW09_Northwind Alpine,OPS-MX200,RM-COIL,Plates,MX200/PL.44 304TL 0.6mm,1,1,Active
P01_NW09_MAT-100094,P01_NW09_RM-COIL-HC276,MAT-100094,RM-COIL-HC276,6.9,KG,COIL HASTELLOY C276 1250mm 0.5mm,2,0.057,0.016,1.057,1.016,1.0739,7.41,P01_NW09_Northwind Alpine,OPS-MX250,RM-COIL,Plates,MX250/PL.45 304TL 0.6mm,1,1,Active
P01_NW09_MAT-100107,P01_NW09_RM-COIL-AL,MAT-100107,RM-COIL-AL,8.313,KG,COIL ALUMINUM 1300mm 0.6mm,4,0.02,0.021,1.02,1.021,1.0414,8.657,P01_NW09_Northwind Alpine,OPS-HT80,RM-COIL,Plates,HT80/PL.08 304TL 0.6mm,1,1,Active
P01_NW09_MAT-100116,P01_NW09_RM-COIL-SS316,MAT-100116,RM-COIL-SS316,5.982,KG,COIL SS316 1250mm 0.5mm,8,0.029,0.027,1.029,1.027,1.0568,6.322,P01_NW09_Northwind Alpine,OPS-MX100,RM-COIL,Plates,MX100/PL.17 304TL 0.7mm,1,1,Active
P01_NW09_MAT-100116,P01_NW09_RM-COIL-NI,MAT-100116,RM-COIL-NI,7.0,KG,COIL NICKEL 1200mm 0.35mm,3,0.042,0.017,1.042,1.017,1.0597,7.418,P01_NW09_Northwind Alpine,OPS-MX100,RM-COIL,Plates,MX100/PL.17 304TL 0.7mm,1,1,Active
P01_NW09_MAT-100118,P01_NW09_RM-COIL-NI,MAT-100118,RM-COIL-NI,6.632,KG,COIL NICKEL 1200mm 0.35mm,8,0.045,0.01,1.045,1.01,1.0554,6.999,P01_NW09_Northwind Alpine,OPS-MX250,RM-COIL,Plates,MX250/PL.19 304TL 0.6mm,1,1,Active
P01_NW09_MAT-100130,P01_NW09_RM-COIL-SS304,MAT-100130,RM-COIL-SS304,7.138,KG,COIL SS304 1250mm 0.4mm,4,0.017,0.03,1.017,1.03,1.0475,7.477,P01_NW09_Northwind Alpine,OPS-MX250,RM-COIL,Plates,MX250/PL.31 304TL 0.7mm,1,1,Active
P01_NW09_MAT-100134,P01_NW09_RM-COIL-TI,MAT-100134,RM-COIL-TI,4.584,KG,COIL TITANIUM 1200mm 0.4mm,8,0.022,0.025,1.022,1.025,1.0475,4.802,P01_NW09_Northwind Alpine,OPS-S140,RM-COIL,Plates,S140/PL.35 304TL 0.6mm,1,1,Active
P01_NW09_MAT-100134,P01_NW09_RM-COIL-SS304,MAT-100134,RM-COIL-SS304,7.225,KG,COIL SS304 1250mm 0.4mm,3,0.035,0.025,1.035,1.025,1.0609,7.665,P01_NW09_Northwind Alpine,OPS-S140,RM-COIL,Plates,S140/PL.35 304TL 0.6mm,1,1,Active
P01_NW09_MAT-100136,P01_NW09_RM-COIL-SS304,MAT-100136,RM-COIL-SS304,12.355,KG,COIL SS304 1250mm 0.4mm,8,0.048,0.023,1.048,1.023,1.0721,13.246,P01_NW09_Northwind Alpine,OPS-XL420,RM-COIL,Plates,XL420/PL.37 304TL 0.4mm,1,1,Active
P01_NW09_MAT-100136,P01_NW09_RM-COIL-NI,MAT-100136,RM-COIL-NI,11.903,KG,COIL NICKEL 1200mm 0.35mm,8,0.059,0.007,1.059,1.007,1.0664,12.693,P01_NW09_Northwind Alpine,OPS-XL420,RM-COIL,Plates,XL420/PL.37 304TL 0.4mm,1,1,Active
P01_NW09_MAT-100141,P01_NW09_RM-COIL-HC276,MAT-100141,RM-COIL-HC276,8.544,KG,COIL HASTELLOY C276 1250mm 0.5mm,8,0.037,0.027,1.037,1.027,1.065,9.099,P01_NW09_Northwind Alpine,OPS-MX200,RM-COIL,Plates,MX200/PL.42 304TL 0.3mm,1,1,Active
P01_NW09_MAT-100144,P01_NW09_RM-COIL-TI,MAT-100144,RM-COIL-TI,5.823,KG,COIL TITANIUM 1200mm 0.4mm,2,0.015,0.013,1.015,1.013,1.0282,5.987,P01_NW09_Northwind Alpine,OPS-S62,RM-COIL,Plates,S62/PL.45 304TL 0.7mm,1,1,Active
P01_NW09_MAT-100145,P01_NW09_RM-COIL-AL,MAT-100145,RM-COIL-AL,4.535,KG,COIL ALUMINUM 1300mm 0.6mm,2,0.023,0.024,1.023,1.024,1.0476,4.751,P01_NW09_Northwind Alpine,OPS-S120,RM-COIL,Plates,S120/PL.46 304TL 0.7mm,1,1,Active
P01_NW09_MAT-100151,P01_NW09_RM-COIL-NI,MAT-100151,RM-COIL-NI,7.802,KG,COIL NICKEL 1200mm 0.35mm,6,0.037,0.013,1.037,1.013,1.0505,8.196,P01_NW09_Northwind Alpine,OPS-PRO-12X,RM-COIL,Plates,PRO-12X/PL.02 304TL 0.6mm,1,1,Active
P01_NW09_MAT-100151,P01_NW09_RM-COIL-SS316,MAT-100151,RM-COIL-SS316,8.049,KG,COIL SS316 1250mm 0.5mm,2,0.026,0.02,1.026,1.02,1.0465,8.423,P01_NW09_Northwind Alpine,OPS-PRO-12X,RM-COIL,Plates,PRO-12X/PL.02 304TL 0.6mm,1,1,Active
P01_NW09_MAT-100154,P01_NW09_RM-COIL-HC276,MAT-100154,RM-COIL-HC276,8.169,KG,COIL HASTELLOY C276 1250mm 0.5mm,6,0.04,0.019,1.04,1.019,1.0598,8.658,P01_NW09_Northwind Alpine,OPS-MX250,RM-COIL,Plates,MX250/PL.05 304TL 0.8mm,1,1,Active
P01_NW09_MAT-100154,P01_NW09_RM-COIL-AL,MAT-100154,RM-COIL-AL,4.182,KG,COIL ALUMINUM 1300mm 0.6mm,4,0.018,0.02,1.018,1.02,1.0384,4.343,P01_NW09_Northwind Alpine,OPS-MX250,RM-COIL,Plates,MX250/PL.05 304TL 0.8mm,1,1,Active
P01_NW09_MAT-100156,P01_NW09_RM-COIL-AL,MAT-100156,RM-COIL-AL,5.252,KG,COIL ALUMINUM 1300mm 0.6mm,3,0.014,0.008,1.014,1.008,1.0221,5.368,P01_NW09_Northwind Alpine,OPS-S62,RM-COIL,Plates,S62/PL.07 304TL 0.6mm,1,1,Active
P01_NW09_MAT-100156,P01_NW09_RM-COIL-NI,MAT-100156,RM-COIL-NI,5.737,KG,COIL NICKEL 1200mm 0.35mm,2,0.012,0.011,1.012,1.011,1.0231,5.87,P01_NW09_Northwind Alpine,OPS-S62,RM-COIL,Plates,S62/PL.07 304TL 0.6mm,1,1,Active
P01_NW09_MAT-100167,P01_NW09_RM-COIL-SS316,MAT-100167,RM-COIL-SS316,13.382,KG,COIL SS316 1250mm 0.5mm,4,0.045,0.026,1.045,1.026,1.0722,14.348,P01_NW09_Northwind Alpine,OPS-HT80,RM-COIL,Plates,HT80/PL.18 304TL 0.5mm,1,1,Active
P01_NW09_MAT-100170,P01_NW09_RM-COIL-TI,MAT-100170,RM-COIL-TI,5.544,KG,COIL TITANIUM 1200mm 0.4mm,8,0.046,0.013,1.046,1.013,1.0596,5.874,P01_NW09_Northwind Alpine,OPS-S140,RM-COIL,Plates,S140/PL.21 304TL 0.8mm,1,1,Active
P01_NW09_MAT-100177,P01_NW09_RM-COIL-SS304,MAT-100177,RM-COIL-SS304,5.888,KG,COIL SS304 1250mm 0.4mm,2,0.05,0.029,1.05,1.029,1.0804,6.361,P01_NW09_Northwind Alpine,OPS-MX200,RM-COIL,Plates,MX200/PL.28 304TL 0.5mm,1,1,Active
P01_NW09_MAT-100185,P01_NW09_RM-COIL-NI,MAT-100185,RM-COIL-NI,9.689,KG,COIL NICKEL 1200mm 0.35mm,3,0.02,0.013,1.02,1.013,1.0333,10.012,P01_NW09_Northwind Alpine,OPS-XL520,RM-COIL,Plates,XL520/PL.36 304TL 0.4mm,1,1,Active
P01_NW09_MAT-100185,P01_NW09_RM-COIL-AL,MAT-100185,RM-COIL-AL,8.476,KG,COIL ALUMINUM 1300mm 0.6mm,3,0.05,0.022,1.05,1.022,1.0731,9.096,P01_NW09_Northwind Alpine,OPS-XL520,RM-COIL,Plates,XL520/PL.36 304TL 0.4mm,1,1,Active
P01_NW09_MAT-100191,P01_NW09_RM-COIL-SS316,MAT-100191,RM-COIL-SS316,14.618,KG,COIL SS316 1250mm 0.5mm,2,0.033,0.029,1.033,1.029,1.063,15.539,P01_NW09_Northwind Alpine,OPS-HT80,RM-COIL,Plates,HT80/PL.42 304TL 0.6mm,1,1,Active
P01_NW09_MAT-100196,P01_NW09_RM-COIL-SS316,MAT-100196,RM-COIL-SS316,12.868,KG,COIL SS316 1250mm 0.5mm,2,0.033,0.012,1.033,1.012,1.0454,13.452,P01_NW09_Northwind Alpine,OPS-XL420,RM-COIL,Plates,XL420/PL.47 304TL 0.3mm,1,1,Active
P01_NW09_MAT-100198,P01_NW09_RM-COIL-TI,MAT-100198,RM-COIL-TI,6.425,KG,COIL TITANIUM 1200mm 0.4mm,8,0.056,0.029,1.056,1.029,1.0866,6.981,P01_NW09_Northwind Alpine,OPS-PRO-9X,RM-COIL,Plates,PRO-9X/PL.49 304TL 0.5mm,1,1,Active
P01_NW09_MAT-100199,P01_NW09_RM-COIL-SS304,MAT-100199,RM-COIL-SS304,10.135,KG,COIL SS304 1250mm 0.4mm,3,0.01,0.01,1.01,1.01,1.0201,10.339,P01_NW09_Northwind Alpine,OPS-PRO-12X,RM-COIL,Plates,PRO-12X/PL.50 304TL 0.8mm,1,1,Active
P01_NW09_MAT-100203,P01_NW09_RM-COIL-HC276,MAT-100203,RM-COIL-HC276,13.366,KG,COIL HASTELLOY C276 1250mm 0.5mm,4,0.012,0.016,1.012,1.016,1.0282,13.743,P01_NW09_Northwind Alpine,OPS-HT80,RM-COIL,Plates,HT80/PL.04 304TL 0.5mm,1,1,Active
P01_NW09_MAT-100212,P01_NW09_RM-COIL-HC276,MAT-100212,RM-COIL-HC276,8.618,KG,COIL HASTELLOY C276 1250mm 0.5mm,4,0.019,0.007,1.019,1.007,1.0261,8.843,P01_NW09_Northwind Alpine,OPS-MX100,RM-COIL,Plates,MX100/PL.13 304TL 0.8mm,1,1,Active
P01_NW09_MAT-100220,P01_NW09_RM-COIL-TI,MAT-100220,RM-COIL-TI,9.851,KG,COIL TITANIUM 1200mm 0.4mm,3,0.041,0.027,1.041,1.027,1.0691,10.532,P01_NW09_Northwind Alpine,OPS-XL420,RM-COIL,Plates,XL420/PL.21 304TL 0.5mm,1,1,Active
P01_NW09_MAT-100220,P01_NW09_RM-COIL-SS316,MAT-100220,RM-COIL-SS316,13.67,KG,COIL SS316 1250mm 0.5mm,4,0.029,0.021,1.029,1.021,1.0506,14.362,P01_NW09_Northwind Alpine,OPS-XL420,RM-COIL,Plates,XL420/PL.21 304TL 0.5mm,1,1,Active
